"","ID","scale","AntMandibles","ChainTip","WoodenStick","Platform","gapheight","distancefromtip"
"1","A8_1_25",18.88,30.3495762711864,30.9763241525424,13.3209745762712,38.0385063559322,25,0.626747881355929
"2","A8_2_25",18.13336,25.6433446421402,25.6341350968602,15.266503284554,39.7517613944685,25,0
"3","A9_3_25",18.13336,28.0698116620417,28.0606021167616,15.3400693528392,39.8253274627537,25,0
"4","A7_5_35",16.14286,24.5929160012538,26.7920306562778,11.4911484086463,46.1194608638122,35,2.19911465502395
"5","A12_6_35",16.14286,22.6106154671477,24.8716770138625,11.5530953003371,46.181407755503,35,2.26106154671477
"6","A23_7_35",16.96666,38.487244985165,38.457775425452,12.7603193557247,46.4734956673853,35,0
"7","A16_8_35",16.96666,24.3713258826428,28.3791860036094,12.8781975945767,46.4734956673853,35,4.00786012096665
"8","A21_9_35",16.96666,36.8369496412376,36.3359671261167,12.8781975945767,46.4145565479594,35,0
"9","A100_10_35",14.45537,36.8029320591586,36.7683428372985,19.9810174350432,54.6625233390775,35,0
"10","A100_11_35",14.45537,45.7961297427876,45.8076825428889,19.9810174350432,54.7547382045565,35,0.0115528001012777
"11","A8_12_35",15.72857143,42.9791098961872,43.0320708407782,15.4813805617183,50.1528701135193,35,0.0529609445910069
"12","A4_13_35",15.72857143,29.5640326948625,29.6382288801418,15.4813805617183,50.2376839191428,35,0.0741961852793658
"13","A1_14_35",15.72857143,32.425068116946,33.9615712957346,15.4813805617183,50.2376839191428,35,1.53650317878869
"14","A30_15_35",17.25714,37.433781032083,39.2977631287687,11.0196127515915,45.7878304284487,35,1.86398209668578
"15","A22_16_35",17.25714,26.6556335522572,30.6443014311757,11.0196127515915,45.7878304284487,35,3.98866787891852
"16","A7_17_35",17.25714,23.0629177256486,23.7679592331058,10.8650680240179,45.7878304284487,35,0.705041507457199
"17","A8_18_35",17.25714,19.3543078401172,19.3639849940372,10.8650680240179,45.7878304284487,35,0.0096771539200553
"18","A15_19_35",17.25714,18.1374202214272,27.4765691186373,11.0196127515915,45.7878304284487,35,9.33914889721008
"19","A23_20_50",15.16666,33.1648497427911,37.9890496655163,22.1648668856558,52.0109898949406,50,4.82419992272524
"20","A7_22_50",15.16666,26.3077038715182,27.4835065861567,22.1648668856558,51.7472535152763,50,1.17580271463856
"21","A23_23_50",15.16666,39.1648523801549,39.1758633740059,22.1208888443467,51.7472535152763,50,0.0110109938509879
"22","A38_24_50",15.16666,40.747270658141,41.1977983287026,22.1208888443467,51.9230997464175,50,0.450527670561613
"23","A26_25_50",15.16666,42.1978207462948,44.0549863977962,22.0769108030377,52.0109898949406,50,1.85716565150139
"24","A8_27_50",13.01334,21.3626939740297,37.5639920266434,12.9738406896308,62.9738406896308,50,16.2012980526137
"25","A23_28_50",13.01334,33.7346138654642,33.8060789927874,12.9705363880449,62.891233149983,50,0.0714651273231937
"26","A28_29_50",13.01334,36.5778501138063,39.0942678820349,12.9705363880449,62.9969708007322,50,2.51641776822861
"27","A12_30_50",12.9,25.8139534883721,27.2480620155039,13.6046511627907,63.4237984496124,50,1.43410852713178
"28","A21_31_50",12.9,49.1472868217054,56.7829457364341,13.6821705426357,63.3720930232558,50,7.63565891472868
"29","A7_32_50",12.9,28.2945736434109,39.6511627906977,13.6046511627907,63.5271317829457,50,11.3565891472868
"30","A19_33_50",12.9,52.3643410852713,57.8682170542636,13.6821705426357,63.3720930232558,50,5.50387596899225
"31","A10_34_50",12.9,43.3333333333333,53.9922480620155,13.6046511627907,63.4496124031008,50,10.6589147286822
"32","A6_35_50",12.51084,29.3345610686413,29.4011433285055,14.3475577978777,63.9445472885913,50,0.0665822598642478
"33","A9_37_50",12.51084,26.8567098612084,29.6942491471396,14.560732932401,64.0111295484556,50,2.83753928593124
"34","A26_38_50",12.51084,38.5399381656228,43.5488744161064,14.560732932401,64.0111295484556,50,5.00893625048358
"35","A24_40_50",12.68666,49.1066994780344,50.8539678686116,16.0667189000099,65.7777539557299,50,1.74726839057719
"36","A6_41_50",12.68666,32.5538794292588,48.8308191438881,16.0404708567897,65.7251790463369,50,16.2769397146294
"37","A16_42_50",12.68666,45.4808436578264,48.5417753766555,16.1192938094029,65.7777539557299,50,3.06093171882907
"38","A18_43_50",12.68666,45.2443747999868,48.2002355229824,16.1981167620162,65.7777539557299,50,2.95586072299565
"39","A26_44_50",12.68666,49.8161060515534,51.3531536275111,16.1192938094029,65.7777539557299,50,1.53704757595774
"40","A23_47_50",12.68666,45.4020207052132,48.5943502860485,16.0404708567897,65.7777539557299,50,3.1923295808353
"41","A3_50_50",12.68666,25.3021677888428,37.6379598728113,16.1192938094029,65.6989310031167,50,12.3357920839685
